superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000717,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001327,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant 354-7007
http://purl.obolibrary.org/BIO/BIO_0000699,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001951,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant 354-4425
http://purl.obolibrary.org/BIO/BIO_0000707,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000726,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant 350-2501BC
http://purl.obolibrary.org/BIO/BIO_0000730,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001770,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant 350-7275BC
http://purl.obolibrary.org/BIO/BIO_0000705,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001761,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile Breast Implant 350-4004BC
http://purl.obolibrary.org/BIO/BIO_0000705,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000723,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile Breast Implant 350-2254BC
http://purl.obolibrary.org/BIO/BIO_0000685,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002013,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant 354-1907MC
http://purl.obolibrary.org/BIO/BIO_0000640,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001703,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile xtra Breast Implant SHPX260
http://purl.obolibrary.org/BIO/BIO_0000662,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000666,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant 350-5430BC
http://purl.obolibrary.org/BIO/BIO_0000658,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Ultra-high Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001716,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Ultra-high Profile Breast Implant 354-5400
http://purl.obolibrary.org/BIO/BIO_0000662,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001996,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant 350-5215BC
http://purl.obolibrary.org/BIO/BIO_0000699,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001950,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant 354-4650
